净值日期,单位净值,日增长率
2019-03-25,1.0,0.0
2019-03-29,1.0038,0.1397
2019-04-01,1.0056,0.1793
2019-04-02,1.008,0.2387
2019-04-03,1.0069,-0.1091
2019-04-04,1.0044,-0.2483
2019-04-08,1.0059,0.1493
2019-04-09,1.0105,0.4573
2019-04-10,1.0082,-0.2276
2019-04-11,1.0043,-0.3868
2019-04-12,1.0048,0.0498
2019-04-15,1.0017,-0.3085
2019-04-16,1.0033,0.1597
2019-04-17,1.0018,-0.1495
2019-04-18,0.9973,-0.4492
2019-04-19,0.9976,0.0301
2019-04-22,0.9968,-0.0802
2019-04-23,0.9934,-0.3411
2019-04-24,0.9977,0.4329
2019-04-25,0.9911,-0.6615
2019-04-26,0.9907,-0.0404
2019-04-29,0.9885,-0.2221
2019-04-30,0.9893,0.0809
2019-05-06,0.9708,-1.87
2019-05-07,0.9714,0.0618
2019-05-08,0.9667,-0.4838
2019-05-09,0.9513,-1.593
2019-05-10,0.9681,1.766
2019-05-13,0.9667,-0.1446
2019-05-14,0.9542,-1.2931
2019-05-15,0.9728,1.9493
2019-05-16,0.9793,0.6682
2019-05-17,0.9605,-1.9197
2019-05-20,0.9436,-1.7595
2019-05-21,0.9556,1.2717
2019-05-22,0.9525,-0.3244
2019-05-23,0.9321,-2.1417
2019-05-24,0.9335,0.1502
2019-05-27,0.949,1.6604
2019-05-28,0.9582,0.9694
2019-05-29,0.9542,-0.4174
2019-05-30,0.958,0.3982
2019-05-31,0.9633,0.5532
2019-06-03,0.9596,-0.3841
2019-06-04,0.9485,-1.1567
2019-06-05,0.9477,-0.0843
2019-06-06,0.9386,-0.9602
2019-06-10,0.9584,2.1095
2019-06-11,0.9787,2.1181
2019-06-12,0.9667,-1.2261
2019-06-13,0.968,0.1345
2019-06-14,0.9564,-1.1983
2019-06-17,0.9515,-0.5123
2019-06-18,0.9544,0.3048
2019-06-19,0.9718,1.8231
2019-06-20,0.9863,1.4921
2019-06-21,0.9858,-0.0507
2019-06-24,0.9908,0.5072
2019-06-25,0.9859,-0.4945
2019-06-26,0.9938,0.8013
2019-06-27,1.0018,0.805
2019-06-28,1.0013,-0.0499
2019-06-30,1.0012,0.0
2019-07-01,1.0055,0.4195
2019-07-02,1.0292,2.357
2019-07-03,1.0323,0.3012
2019-07-04,1.0354,0.3003
2019-07-05,1.0377,0.2221
2019-07-08,1.0207,-1.6382
2019-07-09,1.0126,-0.7936
2019-07-10,1.0279,1.511
2019-07-11,1.0297,0.1751
2019-07-12,1.029,-0.068
2019-07-15,1.0336,0.447
2019-07-16,1.0437,0.9772
2019-07-17,1.0459,0.2108
2019-07-18,1.0336,-1.176
2019-07-19,1.0471,1.3061
2019-07-22,1.037,-0.9646
2019-07-23,1.0417,0.4532
2019-07-24,1.0356,-0.5856
2019-07-25,1.0433,0.7435
2019-07-26,1.0365,-0.6518
2019-07-29,1.0381,0.1544
2019-07-30,1.0416,0.3372
2019-07-31,1.0337,-0.7584
2019-08-01,1.0301,-0.3483
2019-08-02,1.0042,-2.5143
2019-08-05,0.9829,-2.1211
2019-08-06,0.9718,-1.1293
2019-08-07,0.9753,0.3602
2019-08-08,0.9821,0.6972
2019-08-09,0.9704,-1.1913
2019-08-12,0.9788,0.8656
2019-08-13,0.9546,-2.4724
2019-08-14,0.9586,0.419
2019-08-15,0.9646,0.6259
2019-08-16,0.9723,0.7983
2019-08-19,0.9981,2.6535
2019-08-20,1.0117,1.3626
2019-08-21,1.0239,1.2059
2019-08-22,1.0136,-1.006
2019-08-23,1.0198,0.6117
2019-08-26,1.0122,-0.7452
2019-08-27,1.0288,1.64
2019-08-28,1.0268,-0.1944
2019-08-29,1.0298,0.2922
2019-08-30,1.0295,-0.0291
2019-09-02,1.0689,3.8271
2019-09-03,1.0624,-0.6081
2019-09-04,1.0756,1.2425
2019-09-05,1.0979,2.0733
2019-09-06,1.0991,0.1093
2019-09-09,1.0956,-0.3184
2019-09-10,1.1002,0.4199
2019-09-11,1.0965,-0.3363
2019-09-12,1.1042,0.7022
2019-09-16,1.1067,0.2264
2019-09-17,1.0966,-0.9126
2019-09-18,1.1,0.31
2019-09-19,1.1021,0.1909
2019-09-20,1.1016,-0.0454
2019-09-23,1.0771,-2.224
2019-09-24,1.0784,0.1207
2019-09-25,1.0653,-1.2148
2019-09-26,1.0649,-0.0375
2019-09-27,1.064,-0.0845
2019-09-30,1.0645,0.047
2019-10-08,1.0868,2.0949
2019-10-09,1.0816,-0.4785
2019-10-10,1.0897,0.7489
2019-10-11,1.099,0.8534
2019-10-14,1.1086,0.8735
2019-10-15,1.0931,-1.3982
2019-10-16,1.1007,0.6953
2019-10-17,1.1048,0.3725
2019-10-18,1.0996,-0.4707
2019-10-21,1.0982,-0.1273
2019-10-22,1.1056,0.6738
2019-10-23,1.0947,-0.9859
2019-10-24,1.1024,0.7034
2019-10-25,1.1068,0.3991
2019-10-28,1.1269,1.816
