净值日期,单位净值,日增长率
2020-05-14,1.0,0.0
2020-05-15,0.9999,-0.01
2020-05-18,0.9994,-0.05
2020-05-19,1.0004,0.1001
2020-05-20,0.9997,-0.07
2020-05-21,0.9989,-0.08
2020-05-22,0.9973,-0.1602
2020-05-25,0.997,-0.0301
2020-05-26,0.9995,0.2508
2020-05-27,0.9998,0.03
2020-05-28,0.9989,-0.09
2020-05-29,1.0027,0.3804
2020-06-01,1.0117,0.8976
2020-06-02,1.0136,0.1878
2020-06-03,1.0141,0.0493
2020-06-04,1.0158,0.1676
2020-06-05,1.0152,-0.0591
2020-06-08,1.016,0.0788
2020-06-09,1.017,0.0984
2020-06-10,1.0209,0.3835
2020-06-11,1.0173,-0.3526
2020-06-12,1.0171,-0.0197
2020-06-15,1.0169,-0.0197
2020-06-16,1.0257,0.8654
2020-06-17,1.0259,0.0195
2020-06-18,1.0279,0.195
2020-06-19,1.0385,1.0312
2020-06-22,1.0447,0.597
2020-06-23,1.0489,0.402
2020-06-24,1.0514,0.2383
2020-06-29,1.0529,0.1427
2020-06-30,1.0621,0.8738
2020-07-01,1.0636,0.1412
2020-07-02,1.0716,0.7522
2020-07-03,1.0806,0.8399
2020-07-06,1.1276,4.3494
2020-07-07,1.1538,2.3235
2020-07-08,1.1769,2.0021
2020-07-09,1.1918,1.266
2020-07-10,1.1822,-0.8055
2020-07-13,1.2212,3.2989
2020-07-14,1.1984,-1.867
2020-07-15,1.175,-1.9526
2020-07-16,1.1202,-4.6638
2020-07-17,1.1275,0.6517
2020-07-20,1.1573,2.643
2020-07-21,1.1617,0.3802
2020-07-22,1.1769,1.3084
2020-07-23,1.1737,-0.2719
2020-07-24,1.11,-5.4273
2020-07-27,1.1041,-0.5315
2020-07-28,1.1176,1.2227
2020-07-29,1.1504,2.9349
2020-07-30,1.1391,-0.9823
2020-07-31,1.1627,2.0718
2020-08-03,1.189,2.262
2020-08-04,1.1795,-0.799
2020-08-05,1.1777,-0.1526
2020-08-06,1.1801,0.2038
2020-08-07,1.162,-1.5338
2020-08-10,1.1513,-0.9208
2020-08-11,1.13,-1.8501
2020-08-12,1.1151,-1.3186
2020-08-13,1.115,-0.009
2020-08-14,1.1332,1.6323
2020-08-17,1.1601,2.3738
2020-08-18,1.1675,0.6379
2020-08-19,1.1414,-2.2355
2020-08-20,1.1324,-0.7885
2020-08-21,1.1426,0.9007
2020-08-24,1.174,2.75
2020-08-25,1.1662,-0.66
2020-08-26,1.1371,-2.5
2020-08-27,1.1496,1.1
2020-08-28,1.174,2.12
2020-08-31,1.164,-0.85
2020-09-01,1.181,1.46
2020-09-02,1.1904,0.8
2020-09-03,1.181,-0.79
2020-09-04,1.1681,-1.09
2020-09-07,1.1362,-2.73
2020-09-08,1.1304,-0.51
2020-09-09,1.0895,-3.62
2020-09-10,1.0909,0.13
2020-09-11,1.1153,2.24
2020-09-14,1.1258,0.94
2020-09-15,1.1451,1.71
2020-09-16,1.1387,-0.56
2020-09-17,1.1456,0.61
2020-09-18,1.1651,1.7
2020-09-21,1.1491,-1.37
2020-09-22,1.1409,-0.71
2020-09-23,1.1526,1.03
2020-09-24,1.1275,-2.18
2020-09-25,1.1342,0.59
2020-09-28,1.1361,0.17
2020-09-29,1.1482,1.07
2020-09-30,1.1509,0.24
2020-10-09,1.1868,3.12
2020-10-12,1.2306,3.69
2020-10-13,1.2399,0.76
2020-10-14,1.2369,-0.24
2020-10-15,1.2319,-0.4
2020-10-16,1.2278,-0.33
2020-10-19,1.2144,-1.09
2020-10-20,1.2286,1.17
2020-10-21,1.207,-1.76
2020-10-22,1.197,-0.83
2020-10-23,1.1795,-1.46
2020-10-26,1.1855,0.51
2020-10-27,1.1907,0.44
2020-10-28,1.2051,1.21
2020-10-29,1.2148,0.8
2020-10-30,1.1901,-2.03
2020-11-02,1.2173,2.29
2020-11-03,1.225,0.63
2020-11-04,1.233,0.65
2020-11-05,1.2574,1.98
2020-11-06,1.2628,0.43
2020-11-09,1.2857,1.81
2020-11-10,1.2736,-0.94
2020-11-11,1.2596,-1.1
2020-11-12,1.2673,0.61
2020-11-13,1.2766,0.73
2020-11-16,1.2879,0.89
2020-11-17,1.2719,-1.24
2020-11-18,1.2778,0.46
2020-11-19,1.2774,-0.03
2020-11-20,1.2919,1.14
2020-11-23,1.309,1.32
2020-11-24,1.3041,-0.37
2020-11-25,1.2824,-1.66
2020-11-26,1.2774,-0.39
2020-11-27,1.284,0.52
2020-11-30,1.2781,-0.46
2020-12-01,1.2928,1.15
2020-12-02,1.2998,0.54
2020-12-03,1.2936,-0.48
2020-12-04,1.2979,0.33
2020-12-07,1.294,-0.3
2020-12-08,1.307,1.0
2020-12-09,1.2923,-1.12
2020-12-10,1.2987,0.5
2020-12-11,1.2878,-0.84
2020-12-14,1.3215,2.62
2020-12-15,1.3302,0.66
2020-12-16,1.3358,0.42
2020-12-17,1.3507,1.12
2020-12-18,1.3511,0.03
2020-12-21,1.3898,2.86
2020-12-22,1.3526,-2.68
2020-12-23,1.3638,0.83
2020-12-24,1.3579,-0.43
2020-12-25,1.3864,2.1
2020-12-28,1.3878,0.1
2020-12-29,1.3762,-0.84
2020-12-30,1.4039,2.01
2020-12-31,1.4285,1.75
2021-01-04,1.4675,2.73
2021-01-05,1.4815,0.95
2021-01-06,1.4806,-0.06
2021-01-07,1.5124,2.15
2021-01-08,1.504,-0.56
2021-01-11,1.4934,-0.7
2021-01-12,1.524,2.05
2021-01-13,1.5168,-0.47
2021-01-14,1.4799,-2.43
2021-01-15,1.4982,1.24
2021-01-18,1.5285,2.02
2021-01-19,1.4796,-3.2
2021-01-20,1.5206,2.77
2021-01-21,1.5609,2.65
2021-01-22,1.5928,2.04
2021-01-25,1.5811,-0.73
2021-01-26,1.5354,-2.89
2021-01-27,1.548,0.82
2021-01-28,1.4968,-3.31
2021-01-29,1.4823,-0.97
2021-02-01,1.4997,1.17
2021-02-02,1.5517,3.47
2021-02-03,1.5496,-0.14
2021-02-04,1.5365,-0.85
2021-02-05,1.5281,-0.55
2021-02-08,1.5635,2.32
2021-02-09,1.6202,3.63
2021-02-10,1.6478,1.7
2021-02-18,1.624,-1.44
2021-02-19,1.5853,-2.38
2021-02-22,1.5414,-2.77
2021-02-23,1.5351,-0.41
2021-02-24,1.4827,-3.41
2021-02-25,1.495,0.83
2021-02-26,1.471,-1.61
2021-03-01,1.4963,1.72
2021-03-02,1.4761,-1.35
2021-03-03,1.4926,1.12
2021-03-04,1.4344,-3.9
2021-03-05,1.4377,0.23
2021-03-08,1.3781,-4.15
2021-03-09,1.3356,-3.08
2021-03-10,1.3643,2.15
2021-03-11,1.3803,1.17
2021-03-12,1.3958,1.12
2021-03-15,1.3507,-3.23
2021-03-16,1.369,1.35
2021-03-17,1.3971,2.05
2021-03-18,1.4229,1.85
2021-03-19,1.3798,-3.03
2021-03-22,1.3878,0.58
2021-03-23,1.3569,-2.23
2021-03-24,1.3304,-1.95
2021-03-25,1.3277,-0.2
2021-03-26,1.3649,2.8
2021-03-29,1.3653,0.03
2021-03-30,1.3905,1.85
2021-03-31,1.3737,-1.21
2021-04-01,1.3912,1.27
2021-04-02,1.4052,1.01
2021-04-06,1.4011,-0.29
2021-04-07,1.3909,-0.73
2021-04-08,1.3994,0.61
2021-04-09,1.3765,-1.64
2021-04-12,1.3373,-2.85
2021-04-13,1.3415,0.31
2021-04-14,1.3645,1.71
2021-04-15,1.3602,-0.32
2021-04-16,1.3616,0.1
2021-04-19,1.4009,2.89
2021-04-20,1.4121,0.8
2021-04-21,1.419,0.49
2021-04-22,1.4249,0.42
2021-04-23,1.4481,1.63
2021-04-26,1.4438,-0.3
2021-04-27,1.4523,0.59
2021-04-28,1.4676,1.05
2021-04-29,1.4684,0.05
2021-04-30,1.4831,1.0
2021-05-06,1.4834,0.02
2021-05-07,1.4512,-2.17
2021-05-10,1.4486,-0.18
2021-05-11,1.435,-0.94
2021-05-12,1.4423,0.51
2021-05-13,1.4165,-1.79
2021-05-14,1.4439,1.93
2021-05-17,1.4834,2.74
2021-05-18,1.4786,-0.32
2021-05-19,1.4861,0.51
2021-05-20,1.4977,0.78
2021-05-21,1.4912,-0.43
2021-05-24,1.4988,0.51
2021-05-25,1.537,2.55
2021-05-26,1.5302,-0.44
2021-05-27,1.529,-0.08
2021-05-28,1.5303,0.09
2021-05-31,1.5509,1.35
2021-06-01,1.5566,0.37
2021-06-02,1.5573,0.04
2021-06-03,1.5447,-0.81
2021-06-04,1.5596,0.96
2021-06-07,1.5527,-0.44
2021-06-08,1.5456,-0.46
2021-06-09,1.5472,0.1
2021-06-10,1.5711,1.54
2021-06-11,1.5625,-0.55
2021-06-15,1.5607,-0.12
2021-06-16,1.5158,-2.88
2021-06-17,1.5244,0.57
2021-06-18,1.5441,1.29
2021-06-21,1.5497,0.36
2021-06-22,1.5657,1.03
2021-06-23,1.5839,1.16
2021-06-24,1.57,-0.88
2021-06-25,1.587,1.08
2021-06-28,1.6013,0.9
2021-06-29,1.6153,0.87
2021-06-30,1.6436,1.75
2021-07-01,1.6483,0.29
2021-07-02,1.6198,-1.73
2021-07-05,1.6296,0.61
2021-07-06,1.6288,-0.05
2021-07-07,1.6771,2.97
2021-07-08,1.6806,0.21
2021-07-09,1.7021,1.28
2021-07-12,1.7509,2.87
2021-07-13,1.7724,1.23
2021-07-14,1.7334,-2.2
2021-07-15,1.7651,1.83
2021-07-16,1.7227,-2.4
2021-07-19,1.7017,-1.22
2021-07-20,1.7025,0.05
2021-07-21,1.7473,2.63
2021-07-22,1.7513,0.23
2021-07-23,1.7297,-1.23
2021-07-26,1.6968,-1.9
2021-07-27,1.6284,-4.03
2021-07-28,1.6323,0.24
2021-07-29,1.6836,3.14
2021-07-30,1.6725,-0.66
2021-08-02,1.7265,3.23
2021-08-03,1.7138,-0.74
2021-08-04,1.7646,2.96
2021-08-05,1.7496,-0.85
2021-08-06,1.7632,0.78
2021-08-09,1.7564,-0.39
