净值日期,单位净值,日增长率
2017-08-16,1.0,0.0
2017-08-18,1.0,0.0
2017-08-25,1.0002,0.0
2017-09-01,1.0007,0.0
2017-09-08,1.001,0.0
2017-09-15,1.0013,0.0
2017-09-18,1.0015,0.02
2017-09-19,1.0015,0.0
2017-09-20,1.0018,0.03
2017-09-21,1.0017,-0.01
2017-09-22,1.0017,0.0
2017-09-25,1.0017,0.0
2017-09-26,1.0017,0.0
2017-09-27,1.0016,-0.01
2017-09-28,1.0017,0.01
2017-09-29,1.0018,0.01
2017-10-09,1.0023,0.0499
2017-10-10,1.0022,-0.01
2017-10-11,1.0031,0.0898
2017-10-12,1.0033,0.0199
2017-10-13,1.0041,0.0797
2017-10-16,1.003,-0.1096
2017-10-17,1.0038,0.0798
2017-10-18,1.0069,0.3088
2017-10-19,1.007,0.0099
2017-10-20,1.007,0.0
2017-10-23,1.0132,0.6157
2017-10-24,1.0138,0.0592
2017-10-25,1.0184,0.4537
2017-10-26,1.0209,0.2455
2017-10-27,1.0215,0.0588
2017-10-30,1.0218,0.0294
2017-10-31,1.0236,0.1762
2017-11-01,1.0243,0.0684
2017-11-02,1.0217,-0.2538
2017-11-03,1.021,-0.0685
2017-11-06,1.0343,1.3026
2017-11-07,1.0385,0.4061
2017-11-08,1.034,-0.4333
2017-11-09,1.0411,0.6867
2017-11-10,1.0485,0.7108
2017-11-13,1.0559,0.7058
2017-11-14,1.0467,-0.8713
2017-11-15,1.0409,-0.5541
2017-11-16,1.0471,0.5956
2017-11-17,1.0365,-1.0123
2017-11-20,1.0441,0.7332
2017-11-21,1.0524,0.7949
2017-11-22,1.0442,-0.7792
2017-11-23,1.018,-2.5091
2017-11-24,1.0129,-0.501
2017-11-27,1.0027,-1.007
2017-11-28,1.011,0.8278
2017-11-29,1.0122,0.1187
2017-11-30,1.0076,-0.4545
2017-12-01,1.0153,0.7642
2017-12-04,1.0144,-0.0886
2017-12-05,1.0059,-0.8379
2017-12-06,1.0106,0.4672
2017-12-07,1.007,-0.3562
2017-12-08,1.015,0.7944
2017-12-11,1.0261,1.0936
2017-12-12,1.0172,-0.8674
2017-12-13,1.0231,0.58
2017-12-14,1.0203,-0.2737
2017-12-15,1.0064,-1.3623
2017-12-18,1.006,-0.0397
2017-12-19,1.0149,0.8847
2017-12-20,1.0109,-0.3941
2017-12-21,1.0214,1.0387
2017-12-22,1.0174,-0.3916
2017-12-25,1.0106,-0.6684
2017-12-26,1.0124,0.1781
2017-12-27,1.0021,-1.0174
2017-12-28,1.0049,0.2794
2017-12-29,1.0135,0.8558
2017-12-31,1.0134,0.0
2018-01-02,1.0243,1.0656
