净值日期,单位净值,日增长率
2017-09-29,1.0001,0.0
2017-10-13,1.0021,0.0
2017-10-20,1.0011,0.0
2017-10-27,1.0063,0.0
2017-11-03,0.9984,0.0
2017-11-10,1.0097,0.0
2017-11-17,1.0061,0.0
2017-11-24,1.0026,0.0
2017-12-01,1.0003,0.0
2017-12-08,0.9957,0.0
2017-12-15,0.9924,0.0
2017-12-22,0.9965,0.0
2017-12-26,0.9969,0.0
2017-12-27,0.9922,-0.4715
2017-12-28,0.9951,0.2923
2017-12-29,0.9989,0.3819
2017-12-31,0.9991,0.0
2018-01-02,1.0093,1.0411
2018-01-03,1.0145,0.5152
2018-01-04,1.0167,0.2169
2018-01-05,1.0187,0.1967
2018-01-08,1.0256,0.6773
2018-01-09,1.0268,0.117
2018-01-10,1.0268,0.0
2018-01-11,1.0261,-0.0682
2018-01-12,1.0243,-0.1754
2018-01-15,1.0149,-0.9177
2018-01-16,1.0224,0.739
2018-01-17,1.0205,-0.1858
2018-01-18,1.0244,0.3822
2018-01-19,1.0244,0.0
2018-01-22,1.0361,1.1421
2018-01-23,1.0425,0.6177
2018-01-24,1.0473,0.4604
2018-01-25,1.0455,-0.1719
2018-01-26,1.0494,0.373
2018-01-29,1.039,-0.991
2018-01-30,1.0295,-0.9143
2018-01-31,1.0264,-0.3011
2018-02-01,1.0135,-1.2568
2018-02-02,1.0215,0.7893
2018-02-05,1.0231,0.1566
2018-02-06,0.9865,-3.5774
2018-02-07,0.9726,-1.409
2018-02-08,0.9702,-0.2468
2018-02-09,0.9329,-3.8446
2018-02-12,0.9492,1.7472
2018-02-13,0.9564,0.7585
2018-02-14,0.9624,0.6274
2018-02-22,0.9832,2.1613
2018-02-23,0.9899,0.6814
2018-02-26,1.0052,1.5456
2018-02-27,0.9955,-0.965
2018-02-28,0.9952,-0.0301
2018-03-01,1.0026,0.7436
2018-03-02,0.9948,-0.778
2018-03-05,0.998,0.3217
2018-03-06,1.0081,1.012
2018-03-07,0.9974,-1.0614
2018-03-08,1.0037,0.6316
2018-03-09,1.0152,1.1458
2018-03-12,1.0269,1.1525
2018-03-13,1.0178,-0.8862
2018-03-14,1.0108,-0.6878
2018-03-15,1.0108,0.0
