净值日期,单位净值,日增长率
2019-01-24,1.0,0.0
2019-01-25,0.9991,-0.09
2019-02-01,0.9994,0.0
2019-02-15,1.0001,0.0
2019-02-22,1.0003,0.0
2019-02-25,1.0004,0.01
2019-02-26,1.0008,0.04
2019-02-27,1.0008,0.0
2019-02-28,1.0009,0.01
2019-03-01,1.001,0.01
2019-03-04,1.0007,-0.03
2019-03-05,1.0011,0.04
2019-03-06,1.0011,0.0
2019-03-07,1.0011,0.0
2019-03-08,1.0012,0.01
2019-03-11,1.0016,0.04
2019-03-12,1.0017,0.01
2019-03-13,1.0017,0.0
2019-03-14,1.0018,0.01
2019-03-15,1.0018,0.0
2019-03-18,1.0018,0.0
2019-03-19,1.0018,0.0
2019-03-20,1.0018,0.0
2019-03-21,1.002,0.02
2019-03-22,1.0016,-0.0399
2019-03-25,1.0017,0.01
2019-03-26,1.0017,0.0
2019-03-27,1.0021,0.0399
2019-03-28,1.0015,-0.0599
2019-03-29,1.0023,0.0799
2019-04-01,1.0029,0.0599
2019-04-02,1.0029,0.0
2019-04-03,1.0027,-0.0199
2019-04-04,1.0029,0.0199
2019-04-08,1.0031,0.0199
2019-04-09,1.0031,0.0
2019-04-10,1.0031,0.0
2019-04-11,1.0027,-0.0399
2019-04-12,1.0027,0.0
2019-04-15,1.002,-0.0698
2019-04-16,1.0021,0.01
2019-04-17,1.0029,0.0798
2019-04-18,1.0025,-0.0399
2019-04-19,1.0028,0.0299
2019-04-22,1.0025,-0.0299
2019-04-23,1.0025,0.0
2019-04-24,1.0021,-0.0399
2019-04-25,1.0013,-0.0798
2019-04-26,1.0014,0.01
2019-04-29,1.0016,0.02
2019-04-30,1.0022,0.0599
2019-05-06,1.0008,-0.1397
2019-05-07,1.0011,0.03
2019-05-08,1.0011,0.0
2019-05-09,1.001,-0.01
2019-05-10,1.0019,0.0899
2019-05-13,1.0018,-0.01
2019-05-14,1.0017,-0.01
2019-05-15,1.0023,0.0599
2019-05-16,1.0024,0.01
2019-05-17,1.0017,-0.0698
2019-05-20,1.0009,-0.0799
2019-05-21,1.0014,0.05
2019-05-22,1.0018,0.0399
2019-05-23,1.0012,-0.0599
2019-05-24,1.0016,0.04
2019-05-27,1.0013,-0.03
2019-05-28,1.0017,0.0399
2019-05-29,1.0021,0.0399
2019-05-30,1.0016,-0.0499
2019-05-31,1.0015,-0.01
2019-06-03,1.0014,-0.01
2019-06-04,1.0011,-0.03
2019-06-05,1.0009,-0.02
2019-06-06,1.0009,0.0
2019-06-10,1.0013,0.04
2019-06-11,1.0022,0.0899
2019-06-12,1.002,-0.02
2019-06-13,1.0018,-0.02
2019-06-14,1.0016,-0.02
2019-06-17,1.0021,0.0499
2019-06-18,1.0023,0.02
2019-06-19,1.0042,0.1896
2019-06-20,1.0086,0.4382
2019-06-21,1.0103,0.1686
2019-06-24,1.0108,0.0495
2019-06-25,1.009,-0.1781
2019-06-26,1.0102,0.1189
2019-06-27,1.0116,0.1386
2019-06-28,1.0123,0.0692
2019-06-30,1.0123,0.0
2019-07-01,1.0168,0.4445
2019-07-02,1.0176,0.0787
2019-07-03,1.0165,-0.1081
2019-07-04,1.0156,-0.0885
2019-07-05,1.0171,0.1477
2019-07-08,1.0132,-0.3834
2019-07-09,1.013,-0.0197
2019-07-10,1.0129,-0.0099
2019-07-11,1.0133,0.0395
2019-07-12,1.0138,0.0493
2019-07-15,1.0144,0.0592
2019-07-16,1.0137,-0.069
2019-07-17,1.0134,-0.0296
2019-07-18,1.0125,-0.0888
2019-07-19,1.0135,0.0988
2019-07-22,1.0122,-0.1283
2019-07-23,1.0141,0.1877
2019-07-24,1.0149,0.0789
2019-07-25,1.016,0.1084
2019-07-26,1.0176,0.1575
2019-07-29,1.019,0.1376
2019-07-30,1.0205,0.1472
2019-07-31,1.0206,0.0098
2019-08-01,1.0196,-0.098
2019-08-02,1.0193,-0.0294
2019-08-05,1.016,-0.3238
2019-08-06,1.0152,-0.0787
2019-08-07,1.0166,0.1379
2019-08-08,1.0193,0.2656
2019-08-09,1.02,0.0687
2019-08-12,1.0229,0.2843
2019-08-13,1.0223,-0.0587
2019-08-14,1.0242,0.1859
2019-08-15,1.0263,0.205
2019-08-16,1.0292,0.2826
2019-08-19,1.0338,0.4469
2019-08-20,1.0324,-0.1354
2019-08-21,1.0314,-0.0969
2019-08-22,1.032,0.0582
2019-08-23,1.0354,0.3295
2019-08-26,1.0324,-0.2897
2019-08-27,1.0356,0.31
2019-08-28,1.0354,-0.0193
2019-08-29,1.0361,0.0676
2019-08-30,1.0365,0.0386
2019-09-02,1.0386,0.2026
2019-09-03,1.0418,0.3081
2019-09-04,1.0414,-0.0384
2019-09-05,1.043,0.1536
2019-09-06,1.0457,0.2589
2019-09-09,1.0495,0.3634
2019-09-10,1.0482,-0.1239
2019-09-11,1.0442,-0.3816
2019-09-12,1.0453,0.1053
2019-09-16,1.0452,-0.0096
2019-09-17,1.0408,-0.421
2019-09-18,1.0446,0.3651
2019-09-19,1.0465,0.1819
2019-09-20,1.0478,0.1242
2019-09-23,1.0449,-0.2768
2019-09-24,1.0467,0.1723
2019-09-25,1.0441,-0.2484
2019-09-26,1.0401,-0.3831
2019-09-27,1.0406,0.0481
2019-09-30,1.0388,-0.173
2019-10-08,1.0381,-0.0674
2019-10-09,1.0373,-0.0771
