基金代码,基金全称
009373,浦银安盛嘉和稳健一年持有期混合型基金中基金(FOF)
009376,景顺长城成长领航混合型证券投资基金
009377,招商瑞恒一年持有期混合型证券投资基金
009378,招商瑞恒一年持有期混合型证券投资基金
009380,富安达科技领航混合型证券投资基金
009381,汇安核心资产混合型证券投资基金
009382,汇安核心资产混合型证券投资基金
009383,人保稳进配置三个月持有期混合型基金中基金(FOF)
009387,嘉实稳福混合型证券投资基金
009388,嘉实稳福混合型证券投资基金
009391,汇添富优质成长混合型证券投资基金
009392,汇添富优质成长混合型证券投资基金
009394,银华同力精选混合型证券投资基金
009395,鑫元安鑫回报混合型证券投资基金
009400,华安添瑞6个月持有期混合型证券投资基金
009401,华安添瑞6个月持有期混合型证券投资基金
009402,交银施罗德启明混合型证券投资基金
009409,华安添福18个月持有期混合型证券投资基金
009410,华安添福18个月持有期混合型证券投资基金
009411,中银科技创新一年定期开放混合型证券投资基金
009415,中邮瑞享两年定期开放混合型证券投资基金
009416,中邮瑞享两年定期开放混合型证券投资基金
009419,宝盈祥明一年定期开放混合型证券投资基金
009420,宝盈祥明一年定期开放混合型证券投资基金
009423,招商瑞信稳健配置混合型证券投资基金
009424,招商瑞信稳健配置混合型证券投资基金
009426,鹏扬景惠六个月持有期混合型证券投资基金
009427,鹏扬景惠六个月持有期混合型证券投资基金
009428,鹏扬景沣六个月持有期混合型证券投资基金
009429,鹏扬景沣六个月持有期混合型证券投资基金
009432,德邦科技创新一年定期开放混合型证券投资基金
009433,德邦科技创新一年定期开放混合型证券投资基金
009437,信澳科技创新一年定期开放混合型证券投资基金
009438,信澳科技创新一年定期开放混合型证券投资基金
009447,财通资管科技创新一年定期开放混合型证券投资基金
009467,红土创新科技创新3个月定期开放混合型证券投资基金
009468,博时健康成长主题双周定期可赎回混合型证券投资基金
009469,博时健康成长主题双周定期可赎回混合型证券投资基金
009470,东方欣利混合型证券投资基金
009471,东方欣利混合型证券投资基金
009474,国泰致远优势混合型证券投资基金
009475,汇丰晋信慧盈混合型证券投资基金
009481,国泰宏益一年持有期混合型证券投资基金
009482,国泰宏益一年持有期混合型证券投资基金
009486,光大保德信瑞和混合型证券投资基金
009487,光大保德信瑞和混合型证券投资基金
009488,中邮价值精选混合型证券投资基金
009489,中邮价值精选混合型证券投资基金
009490,泰康科技创新一年定期开放混合型证券投资基金
009493,大成尊享18个月持有期混合型发起式证券投资基金
009494,大成尊享18个月持有期混合型发起式证券投资基金
009499,景顺长城安鑫回报一年持有期混合型证券投资基金
009500,国寿安保高股息混合型证券投资基金
009501,国寿安保高股息混合型证券投资基金
009507,国金鑫意医药消费混合型发起式证券投资基金
009508,国金鑫意医药消费混合型发起式证券投资基金
009511,信澳研究优选混合型证券投资基金
009525,广发聚荣一年持有期混合型证券投资基金
009526,广发聚荣一年持有期混合型证券投资基金
009527,浙商汇金新兴消费灵活配置混合型证券投资基金
009531,九泰锐和18个月定期开放混合型证券投资基金
009536,汇添富稳健增益一年持有期混合型证券投资基金
009539,兴业睿进混合型证券投资基金
009540,兴业睿进混合型证券投资基金
009542,银华富利精选混合型证券投资基金
009548,汇添富中盘价值精选混合型证券投资基金
009549,汇添富中盘价值精选混合型证券投资基金
009556,兴全合丰三年持有期混合型证券投资基金
009558,嘉实稳惠6个月持有期混合型证券投资基金
009559,嘉实稳惠6个月持有期混合型证券投资基金
009568,浙商智多宝稳健一年持有期混合型证券投资基金
009569,浙商智多宝稳健一年持有期混合型证券投资基金
009570,鹏华匠心精选混合型证券投资基金
009571,鹏华匠心精选混合型证券投资基金
009574,德邦安益6个月持有期混合型证券投资基金
009575,德邦安益6个月持有期混合型证券投资基金
009576,东方红智远三年持有期混合型证券投资基金
009590,东方盛世灵活配置混合型证券投资基金
009591,博时研究精选一年持有期灵活配置混合型证券投资基金
009592,博时研究精选一年持有期灵活配置混合型证券投资基金
009596,泰康创新成长混合型证券投资基金
009597,泰康创新成长混合型证券投资基金
009598,景顺长城科技创新三年定期开放灵活配置混合型证券投资基金
009606,长信稳健精选混合型证券投资基金
009607,长信稳健精选混合型证券投资基金
009611,兴全汇享一年持有期混合型证券投资基金
009612,兴全汇享一年持有期混合型证券投资基金
009618,交银施罗德启汇混合型证券投资基金
009619,博时女性消费主题混合型证券投资基金
009620,博时女性消费主题混合型证券投资基金
009621,中欧心益稳健6个月持有期混合型证券投资基金
009622,中欧心益稳健6个月持有期混合型证券投资基金
009623,长城创新驱动混合型证券投资基金
009624,安信稳健阿尔法定期开放混合型发起式证券投资基金
009627,天弘睿新三个月定期开放混合型证券投资基金
009628,天弘睿新三个月定期开放混合型证券投资基金
009630,浦银安盛ESG责任投资混合型证券投资基金
009631,浦银安盛ESG责任投资混合型证券投资基金
009634,鹏华安睿两年持有期混合型证券投资基金
009635,鹏华安睿两年持有期混合型证券投资基金
009636,华泰柏瑞景气优选混合型证券投资基金
009640,中银证券优选行业龙头混合型证券投资基金
009641,中银证券优选行业龙头混合型证券投资基金
009644,东方阿尔法优势产业混合型发起式证券投资基金
009645,东方阿尔法优势产业混合型发起式证券投资基金
009646,南方核心成长混合型证券投资基金
009647,南方核心成长混合型证券投资基金
009649,嘉实精选平衡混合型证券投资基金
009650,嘉实精选平衡混合型证券投资基金
009651,海富通成长甄选混合型证券投资基金
009652,海富通成长甄选混合型证券投资基金
009653,大成丰享回报混合型证券投资基金
009654,大成丰享回报混合型证券投资基金
009659,民生加银新动能一年定期开放混合型证券投资基金
009660,民生加银新动能一年定期开放混合型证券投资基金
009661,平安研究睿选混合型证券投资基金
009662,平安研究睿选混合型证券投资基金
009663,华泰紫金创新先锋混合型证券投资基金(LOF)
009664,汇添富医疗积极成长一年持有期混合型证券投资基金
009665,汇添富医疗积极成长一年持有期混合型证券投资基金
009667,鹏华安庆混合型证券投资基金
009668,鹏华安庆混合型证券投资基金
009669,长信量化价值驱动混合型证券投资基金
009671,平安恒泽混合型证券投资基金
009672,平安恒泽混合型证券投资基金
009677,浙商智多益稳健一年持有期混合型证券投资基金
009678,浙商智多益稳健一年持有期混合型证券投资基金
009681,南方创新精选一年定期开放混合型发起式证券投资基金
009682,南方创新精选一年定期开放混合型发起式证券投资基金
009683,汇添富创新增长一年定期开放混合型证券投资基金
009684,汇添富创新增长一年定期开放混合型证券投资基金
009686,华夏磐利一年定期开放混合型证券投资基金
009687,华夏磐利一年定期开放混合型证券投资基金
009688,万家鑫动力月月购一年滚动持有混合型证券投资基金
009689,易方达瑞锦灵活配置混合型发起式证券投资基金
009690,易方达瑞锦灵活配置混合型发起式证券投资基金
009691,国泰浩益混合型证券投资基金
009692,国泰浩益混合型证券投资基金
009693,富国积极成长一年定期开放混合型证券投资基金
009695,招商成长精选一年定期开放混合型发起式证券投资基金
009696,招商成长精选一年定期开放混合型发起式证券投资基金
009697,华夏成长精选6个月定期开放混合型发起式证券投资基金
009698,华夏成长精选6个月定期开放混合型发起式证券投资基金
009700,长江添利混合型证券投资基金
009701,长江添利混合型证券投资基金
009704,南方景气驱动混合型证券投资基金
009705,南方景气驱动混合型证券投资基金
009706,民生加银城镇化灵活配置混合型证券投资基金
009707,工银瑞信新兴制造混合型证券投资基金
009708,工银瑞信新兴制造混合型证券投资基金
009709,民生加银策略精选灵活配置混合型证券投资基金
009714,华安聚优精选混合型证券投资基金
009715,汇添富策略增长灵活配置混合型证券投资基金
009716,博时恒盛一年持有期混合型证券投资基金
009717,博时恒盛一年持有期混合型证券投资基金
009718,招商增浩混合型证券投资基金
009719,招商增浩混合型证券投资基金
009720,民生加银景气行业混合型证券投资基金
009725,东方红优质甄选一年持有期混合型证券投资基金
009736,汇添富稳健收益混合型证券投资基金
009737,汇添富稳健收益混合型证券投资基金
009740,博时研究臻选三年持有期灵活配置混合型证券投资基金
009741,博时研究臻选三年持有期灵活配置混合型证券投资基金
009755,景顺长城安鑫回报一年持有期混合型证券投资基金
009762,国金国鑫灵活配置混合型发起式证券投资基金
009766,安信平稳双利3个月持有期混合型证券投资基金
009767,安信平稳双利3个月持有期混合型证券投资基金
009774,财通资管优选回报一年持有期混合型证券投资基金
009776,中欧阿尔法混合型证券投资基金
009777,中欧阿尔法混合型证券投资基金
009778,长信消费升级混合型证券投资基金
009779,长信消费升级混合型证券投资基金
009781,南方产业优势两年持有期混合型证券投资基金
009782,富国兴泉回报12个月持有期混合型证券投资基金
009783,富国兴泉回报12个月持有期混合型证券投资基金
009789,富安达科技创新混合型发起式证券投资基金
009791,中欧创业板两年定期开放混合型证券投资基金
009795,嘉实远见精选两年持有期混合型证券投资基金
009796,大成汇享一年持有期混合型证券投资基金
009797,大成汇享一年持有期混合型证券投资基金
009798,大成创业板两年定期开放混合型证券投资基金
009800,长盛制造精选混合型证券投资基金
009801,长盛制造精选混合型证券投资基金
009804,国泰研究优势混合型证券投资基金
009806,东方红招盈甄选一年持有期混合型证券投资基金
009807,东方红招盈甄选一年持有期混合型证券投资基金
009808,易方达创新成长混合型证券投资基金
009810,易方达悦通一年持有期混合型证券投资基金
009811,易方达悦通一年持有期混合型证券投资基金
009812,易方达悦兴一年持有期混合型证券投资基金
009813,易方达悦兴一年持有期混合型证券投资基金
009817,红塔红土稳健精选混合型证券投资基金
009818,红塔红土稳健精选混合型证券投资基金
009819,嘉实鑫福一年持有期混合型证券投资基金
009820,嘉实浦惠6个月持有期混合型证券投资基金
009821,嘉实浦惠6个月持有期混合型证券投资基金
009822,鹏华招华一年持有期混合型证券投资基金
009823,鹏华招华一年持有期混合型证券投资基金
009828,融通转型三动力灵活配置混合型证券投资基金
009829,长城优选增强六个月持有期混合型证券投资基金
009830,长城优选增强六个月持有期混合型证券投资基金
009835,融通新能源汽车主题精选灵活配置混合型证券投资基金
009837,华夏磐锐一年定期开放混合型证券投资基金
009838,华夏磐锐一年定期开放混合型证券投资基金
009840,西藏东财量化精选混合型发起式证券投资基金
009841,西藏东财量化精选混合型发起式证券投资基金
009842,东方红明鉴优选两年定期开放混合型证券投资基金
009846,富兰克林国海港股通远见价值混合型证券投资基金
009847,圆信永丰研究精选混合型证券投资基金A类
009848,圆信永丰研究精选混合型证券投资基金C类
009849,安信稳健聚申一年持有期混合型证券投资基金
009850,长盛盛杰混合型证券投资基金
009853,中加优势企业混合型证券投资基金
009854,中加优势企业混合型证券投资基金
009855,中加新兴成长混合型证券投资基金
009856,中加新兴成长混合型证券投资基金
009857,博时价值臻选两年持有期灵活配置混合型证券投资基金
009858,博时价值臻选两年持有期灵活配置混合型证券投资基金
009859,银华乐享混合型证券投资基金
009861,鹏华新兴成长混合型证券投资基金
009862,鹏华新兴成长混合型证券投资基金
009867,工银瑞信创新精选一年定期开放混合型证券投资基金
009868,工银瑞信创新精选一年定期开放混合型证券投资基金
009869,嘉实产业先锋混合型证券投资基金
009870,嘉实产业先锋混合型证券投资基金
009872,中欧责任投资混合型证券投资基金
009873,中欧责任投资混合型证券投资基金
009878,平安低碳经济混合型证券投资基金
009879,平安低碳经济混合型证券投资基金
009880,安信成长动力一年持有期混合型证券投资基金
009882,华润元大核心动力混合型证券投资基金
009883,华润元大核心动力混合型证券投资基金
009885,新华景气行业混合型证券投资基金
009886,新华景气行业混合型证券投资基金
009887,广发稳健优选六个月持有期混合型证券投资基金
009888,广发稳健优选六个月持有期混合型证券投资基金
009892,富国成长策略混合型证券投资基金
009893,摩根士丹利优悦安和混合型证券投资基金
009900,易方达磐固六个月持有期混合型证券投资基金
009901,易方达磐固六个月持有期混合型证券投资基金
009907,湘财长泽灵活配置混合型证券投资基金
009908,湘财长泽灵活配置混合型证券投资基金
009909,嘉实动力先锋混合型证券投资基金
009910,嘉实动力先锋混合型证券投资基金
009912,九泰天富改革新动力灵活配置混合型证券投资基金
009913,中信保诚成长动力混合型证券投资基金
009914,富国成长动力混合型证券投资基金
009918,上银核心成长混合型证券投资基金
009919,上银核心成长混合型证券投资基金
009927,工银瑞信聚利18个月定期开放混合型证券投资基金
009928,工银瑞信聚利18个月定期开放混合型证券投资基金
009929,南方创新驱动混合型证券投资基金
009930,南方创新驱动混合型证券投资基金
009931,淳厚欣享一年持有期混合型证券投资基金
009932,永赢稳健增长一年持有期混合型证券投资基金
009937,东方欣益一年持有期偏债混合型证券投资基金
009938,东方欣益一年持有期偏债混合型证券投资基金
009939,淳厚欣享一年持有期混合型证券投资基金
009940,格林稳健价值灵活配置混合型证券投资基金
009941,格林稳健价值灵活配置混合型证券投资基金
009950,财通资管均衡价值一年持有期混合型证券投资基金
009951,广发稳健回报混合型证券投资基金
009952,广发稳健回报混合型证券投资基金
009955,广发鑫裕灵活配置混合型证券投资基金
009956,广发恒誉混合型证券投资基金
009957,广发恒誉混合型证券投资基金
009958,长安鑫悦消费驱动混合型证券投资基金
009959,长安鑫悦消费驱动混合型证券投资基金
009960,银华多元机遇混合型证券投资基金
009965,宝盈祥琪混合型证券投资基金
009966,宝盈祥琪混合型证券投资基金
009967,博时荣泰灵活配置混合型证券投资基金
009968,金鹰内需成长混合型证券投资基金
009969,金鹰内需成长混合型证券投资基金
009970,财通内需增长12个月定期开放混合型证券投资基金
009971,创金合信核心价值混合型证券投资基金
009972,创金合信核心价值混合型证券投资基金
009973,创金合信核心资产混合型证券投资基金
009974,创金合信核心资产混合型证券投资基金
009977,银华招利一年持有期混合型证券投资基金
009978,银华招利一年持有期混合型证券投资基金
009983,永赢港股通品质生活慧选混合型证券投资基金
009984,鹏华启航混合型证券投资基金
009986,天弘创新领航混合型证券投资基金
009987,天弘创新领航混合型证券投资基金
009989,华宝研究精选混合型证券投资基金
009990,华泰柏瑞品质优选混合型证券投资基金
009991,华泰柏瑞品质优选混合型证券投资基金
009992,景顺长城量化成长演化混合型证券投资基金
009993,嘉实前沿创新混合型证券投资基金
009994,嘉实创新先锋混合型证券投资基金
009995,嘉实创新先锋混合型证券投资基金
009998,摩根慧见两年持有期混合型证券投资基金
009999,东方中国红利混合型证券投资基金
010000,长城中国智造灵活配置混合型证券投资基金
012584,南方中国新兴经济9个月持有期混合型证券投资基金(QDII)
016496,景顺长城中证港股通科技交易型开放式指数证券投资基金发起式联接基金
260112,景顺长城能源基建混合型证券投资基金
001023,亚债中国债券指数基金
019984,南华中证同业存单AAA指数7天持有期证券投资基金
004657,金鹰民富收益混合型证券投资基金
010006,南方誉鼎一年持有期混合型证券投资基金
010007,南方誉鼎一年持有期混合型证券投资基金
010008,国联成长优选混合型证券投资基金
010009,国联成长优选混合型证券投资基金
000179,广发美国房地产指数证券投资基金
000180,广发美国房地产指数证券投资基金
000216,华安易富黄金交易型开放式证券投资基金联接基金
000217,华安易富黄金交易型开放式证券投资基金联接基金
000218,国泰黄金交易型开放式证券投资基金联接基金
000307,易方达黄金交易型开放式证券投资基金联接基金
000929,博时黄金交易型开放式证券投资基金
000930,博时黄金交易型开放式证券投资基金
002610,博时黄金交易型开放式证券投资基金联接基金
002611,博时黄金交易型开放式证券投资基金联接基金
002963,易方达黄金交易型开放式证券投资基金联接基金
003321,易方达原油证券投资基金(QDII)
003322,易方达原油证券投资基金(QDII)
003323,易方达原油证券投资基金(QDII)
004253,国泰黄金交易型开放式证券投资基金联接基金
005613,摩根富时发达市场REITs指数型证券投资基金(QDII)
006476,南方原油证券投资基金
007910,大成有色金属期货交易型开放式指数证券投资基金联接基金
007911,大成有色金属期货交易型开放式指数证券投资基金联接基金
007937,华夏饲料豆粕期货交易型开放式证券投资基金发起式联接基金
007938,华夏饲料豆粕期货交易型开放式证券投资基金发起式联接基金
008142,工银瑞信黄金交易型开放式证券投资基金联接基金
008143,工银瑞信黄金交易型开放式证券投资基金联接基金
008701,华夏黄金交易型开放式证券投资基金发起式联接基金
008702,华夏黄金交易型开放式证券投资基金发起式联接基金
008827,建信易盛郑商所能源化工期货交易型开放式指数证券投资基金发起式联接基金
008828,建信易盛郑商所能源化工期货交易型开放式指数证券投资基金发起式联接基金
008986,广发上海金交易型开放式证券投资基金联接基金
008987,广发上海金交易型开放式证券投资基金联接基金
009033,建信上海金交易型开放式证券投资基金联接基金
009034,建信上海金交易型开放式证券投资基金联接基金
009198,前海开源黄金交易型开放式证券投资基金联接基金
009477,中银上海金交易型开放式证券投资基金联接基金
009478,中银上海金交易型开放式证券投资基金联接基金
009504,富国上海金交易型开放式证券投资基金联接基金
009505,富国上海金交易型开放式证券投资基金联接基金
014661,天弘上海金交易型开放式证券投资基金发起式联接基金
014662,天弘上海金交易型开放式证券投资基金发起式联接基金
016278,广发美国房地产指数证券投资基金
016581,嘉实上海金交易型开放式证券投资基金发起式联接基金
016582,嘉实上海金交易型开放式证券投资基金发起式联接基金
018391,南方上海金交易型开放式证券投资基金发起式联接基金
018392,南方上海金交易型开放式证券投资基金发起式联接基金
018543,汇添富黄金及贵金属证券投资基金(LOF)
019005,国投瑞银白银期货证券投资基金(LOF)
019495,摩根富时发达市场REITs指数型证券投资基金(QDII)
000022,南方中债中期票据指数债券型发起式证券投资基金
000023,南方中债中期票据指数债券型发起式证券投资基金
000087,嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金
000088,嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金
001021,亚债中国债券指数基金
001512,易方达中债3-5年期国债指数证券投资基金
002659,兴业中债1-3年政策性金融债指数证券投资基金
003079,中融上海清算所银行间3-5年中高等级信用债指数发起式证券投资基金
003080,中融上海清算所银行间3-5年中高等级信用债指数发起式证券投资基金
003081,国联上海清算所银行间1-3年中高等级信用债指数发起式证券投资基金
003082,国联上海清算所银行间1-3年中高等级信用债指数发起式证券投资基金
003083,中融上海清算所银行间1-3年高等级信用债指数发起式证券投资基金
003084,中融上海清算所银行间1-3年高等级信用债指数发起式证券投资基金
003085,中融上海清算所银行间0-1年中高等级信用债指数发起式证券投资基金
003086,中融上海清算所银行间0-1年中高等级信用债指数发起式证券投资基金
003358,易方达中债7-10年期国开行债券指数证券投资基金
003376,广发中债7-10年期国开行债券指数证券投资基金
003377,广发中债7-10年期国开行债券指数证券投资基金
003429,中证兴业中高等级信用债指数证券投资基金
003814,银华上证10年期国债指数证券投资基金
003815,银华上证10年期国债指数证券投资基金
003817,银华上证5年期国债指数证券投资基金
003818,银华上证5年期国债指数证券投资基金
003932,银华中证5年期地方政府债指数证券投资基金
003933,银华中证5年期地方政府债指数证券投资基金
003934,银华中证10年期地方政府债指数证券投资基金
003935,银华中证10年期地方政府债指数证券投资基金
003987,银华中债-10年期国债期货期限匹配金融债指数证券投资基金
003988,银华中债-10年期国债期货期限匹配金融债指数证券投资基金
003989,银华中债-5年期国债期货期限匹配金融债指数证券投资基金
003990,银华中债-5年期国债期货期限匹配金融债指数证券投资基金
003995,银华中债AAA信用债指数证券投资基金
003996,银华中债AAA信用债指数证券投资基金
004085,工银瑞信中债-国债(7-10年)总指数证券投资基金
004086,工银瑞信中债-国债(7-10年)总指数证券投资基金
005093,中银中债7-10年期国开行债券指数证券投资基金
005285,广发中证10年期国开债指数证券投资基金(LOF)
005623,广发中债1-3年农发行债券指数证券投资基金
005624,广发中债1-3年农发行债券指数证券投资基金
005838,创金合信中债1-3年政策性金融债指数证券投资基金
005839,创金合信中债1-3年政策性金融债指数证券投资基金
006224,中银中债3-5年期农发行债券指数证券投资基金
006409,富国中债-1-3年国开行债券指数证券投资基金
006451,华富中证5年恒定久期国开债指数型证券投资基金
006452,华富中证5年恒定久期国开债指数型证券投资基金
006473,招商中债1-5年进出口行债券指数证券投资基金
006474,招商中债1-5年进出口行债券指数证券投资基金
006481,海富通上海清算所中高等级短期融资券指数证券投资基金
006484,广发中债1-3年国开行债券指数证券投资基金
006485,广发中债1-3年国开行债券指数证券投资基金
006491,南方中债1-3年国开行债券指数证券投资基金
006492,南方中债1-3年国开行债券指数证券投资基金
006493,南方中债3-5年农发行债券指数证券投资基金
006494,南方中债3-5年农发行债券指数证券投资基金
006633,博时中债1-3年政策性金融债指数证券投资基金
006634,博时中债1-3年政策性金融债指数证券投资基金
006727,博时中债3-5年进出口行债券指数证券投资基金
006728,博时中债3-5年进出口行债券指数证券投资基金
006765,招商中债1-5年农发行债券指数证券投资基金
006766,招商中债1-5年农发行债券指数证券投资基金
006848,博时中债5-10年农发行债券指数证券投资基金
006849,博时中债5-10年农发行债券指数证券投资基金
006925,永赢中债-1-3年政策性金融债指数证券投资基金
006959,浦银安盛中债3-5年农发行债券指数证券投资基金
006960,浦银安盛中债3-5年农发行债券指数证券投资基金
006961,南方中债7-10年国开行债券指数证券投资基金
006962,南方中债7-10年国开行债券指数证券投资基金
007000,鹏华中债1-3年国开行债券指数证券投资基金
007001,鹏华中债1-3年国开行债券指数证券投资基金
007010,国寿安保中债1-3年国开行债券指数型证券投资基金
007011,国寿安保中债1-3年国开行债券指数型证券投资基金
007021,嘉实中债1-3年政策性金融债指数证券投资基金
007022,嘉实中债1-3年政策性金融债指数证券投资基金
007026,建信中债1-3年国开行债券指数证券投资基金
007027,建信中债1-3年国开行债券指数证券投资基金
007035,中银中债1-3年期国开行债券指数证券投资基金
007064,浦银安盛上海清算所高等级优选短期融资券指数证券投资基金
007065,浦银安盛上海清算所高等级优选短期融资券指数证券投资基金
007073,海富通上海清算所中高等级短期融资券指数证券投资基金
007078,工银瑞信中债3-5年国开行债券指数证券投资基金
007079,工银瑞信中债3-5年国开行债券指数证券投资基金
007080,建信中债5-10年国开行债券指数证券投资基金
007081,建信中债5-10年国开行债券指数证券投资基金
007092,鑫元中债3-5年国开行债券指数证券投资基金
007093,鑫元中债3-5年国开行债券指数证券投资基金
007094,建信中债3-5年国开行债券指数证券投资基金
007095,建信中债3-5年国开行债券指数证券投资基金
007097,汇添富中债1-3年国开行债券指数证券投资基金
007098,汇添富中债1-3年国开行债券指数证券投资基金
007122,工银1-3年国开债指数A
007123,工银瑞信中债1-3年国开行债券指数证券投资基金
007124,工银瑞信中债1-3年农发行债券指数证券投资基金
007125,工银瑞信中债1-3年农发行债券指数证券投资基金
007147,博时中债1-3年国开行债券指数证券投资基金
007148,博时中债1-3年国开行债券指数证券投资基金
007155,银河中债-1-3年久期央企20债券指数证券投资基金
007165,华夏中债1-3年政策性金融债指数证券投资基金
007166,华夏中债1-3年政策性金融债指数证券投资基金
007169,易方达中债1-3年国开行债券指数证券投资基金
007170,易方达中债1-3年国开行债券指数证券投资基金
007171,易方达中债3-5年国开行债券指数证券投资基金
007172,易方达中债3-5年国开行债券指数证券投资基金
007180,华安中债1-3年政策性金融债指数证券投资基金
007181,华安中债1-3年政策性金融债指数证券投资基金
007186,华夏中债3-5年政策性金融债指数证券投资基金
007187,华夏中债3-5年政策性金融债指数证券投资基金
007197,富国中债1-5年农发行债券指数证券投资基金
007228,华安中债7-10年国开行债券指数证券投资基金
007229,华安中债7-10年国开行债券指数证券投资基金
007252,广发中债农发行债券总指数证券投资基金
007253,广发中债农发行债券总指数证券投资基金
007259,民生加银中债1-3年农发行债券指数证券投资基金
007284,工银瑞信中债1-5年进出口行债券指数证券投资基金
007285,工银瑞信中债1-5年进出口行债券指数证券投资基金
007289,汇添富中债1-3年农发行债券指数证券投资基金
007290,汇添富中债1-3年农发行债券指数证券投资基金
007324,鑫元中债1-3年国开行债券指数证券投资基金
007325,鑫元中债1-3年国开行债券指数证券投资基金
007335,中银中债1-3年期农发行债券指数证券投资基金
007364,易方达中债1-3年政策性金融债指数证券投资基金
007365,易方达中债1-3年政策性金融债指数证券投资基金
007366,易方达中债3-5年政策性金融债指数证券投资基金
007367,易方达中债3-5年政策性金融债指数证券投资基金
007390,上银中债1-3年农发行债券指数证券投资基金
007452,兴银上海清算所3-5年中高等级优选信用债指数证券投资基金
007453,兴银上海清算所3-5年中高等级优选信用债指数证券投资基金
007485,博时中债3-5年国开行债券指数证券投资基金
007486,博时中债3-5年国开行债券指数证券投资基金
007495,兴业中债1-3年政策性金融债指数证券投资基金
007507,大成中债3-5年国开行债券指数证券投资基金
007508,大成中债3-5年国开行债券指数证券投资基金
007763,前海开源中债3-5年国开行债券指数证券投资基金
007764,前海开源中债3-5年国开行债券指数证券投资基金
007765,前海开源中债1-3年国开行债券指数证券投资基金
007766,前海开源中债1-3年国开行债券指数证券投资基金
007846,华富中债-0-5年中高等级信用债收益平衡指数证券投资基金
007847,华富中债-0-5年中高等级信用债收益平衡指数证券投资基金
007946,大成中债1-3年国开行债券指数证券投资基金
007947,大成中债1-3年国开行债券指数证券投资基金
008015,嘉实中债3-5年国开行债券指数证券投资基金
008016,嘉实中债3-5年国开行债券指数证券投资基金
008042,兴业中证银行50金融债指数证券投资基金
008043,兴业中证银行50金融债指数证券投资基金
008054,汇添富中债7-10年国开行债券指数证券投资基金
008055,汇添富中债7-10年国开行债券指数证券投资基金
008125,创金合信中债1-3年国开行债券指数证券投资基金
008126,创金合信中债1-3年国开行债券指数证券投资基金
008216,农银汇理彭博1-3年中国利率债指数证券投资基金
008256,南方中债1-5年国开行债券指数证券投资基金
008257,南方中债1-5年国开行债券指数证券投资基金
008482,广发上海清算所0-4年央企80债券指数证券投资基金
008483,广发上海清算所0-4年央企80债券指数证券投资基金
008574,中加中债-1-3年政策性金融债指数证券投资基金
008583,西部利得中债1-3年政策性金融债指数证券投资基金
008584,西部利得中债1-3年政策性金融债指数证券投资基金
008626,南方中债0-5年中高等级江苏省城投类债券指数证券投资基金
008627,南方中债0-5年中高等级江苏省城投类债券指数证券投资基金
008652,长城中债1-3年政策性金融债指数证券投资基金
008653,长城中债1-3年政策性金融债指数证券投资基金
008677,银华中债1-3年国开行债券指数证券投资基金
008679,长盛中债1-3年政策性金融债指数证券投资基金
008680,长盛中债1-3年政策性金融债指数证券投资基金
008844,摩根中债1-3年国开行债券指数证券投资基金
008845,摩根中债1-3年国开行债券指数证券投资基金
008933,天弘中债1-3年国开行债券指数发起式证券投资基金
008964,华泰紫金中债1-5年国开行债券指数证券投资基金
008965,华泰紫金中债1-5年国开行债券指数证券投资基金
009035,浦银安盛中债1-3年国开行债券指数证券投资基金
009036,浦银安盛中债1-3年国开行债券指数证券投资基金
009087,太平中债1-3年政策性金融债指数证券投资基金
009088,太平中债1-3年政策性金融债指数证券投资基金
009171,永赢中债-1-5年国开行债券指数证券投资基金
009172,永赢中债-1-5年国开行债券指数证券投资基金
009175,浙商中债1-5年政策性金融债指数证券投资基金
009176,浙商中债1-5年政策性金融债指数证券投资基金
009219,大成彭博农发行债券1-3年指数证券投资基金
009220,大成彭博农发行债券1-3年指数证券投资基金
009259,安信中证信用主体50债券指数证券投资基金
009324,长城中债3-5年国开行债券指数证券投资基金
009325,长城中债3-5年国开行债券指数证券投资基金
009445,华夏上海清算所1-3年高等级国企中期票据指数证券投资基金
009446,华夏上海清算所1-3年高等级国企中期票据指数证券投资基金
009529,国联中债1-5年国开行债券指数证券投资基金
009530,国联中债1-5年国开行债券指数证券投资基金
009541,银华中债1-3年农发行债券指数证券投资基金
009554,建信中债1-3年农发行债券指数证券投资基金
009555,建信中债1-3年农发行债券指数证券投资基金
009560,上银中债1-3年国开行债券指数证券投资基金
009581,国寿安保中债-3-5年政策性金融债指数证券投资基金
009582,国寿安保中债-3-5年政策性金融债指数证券投资基金
009593,国泰中债1-3年国开行债券指数证券投资基金
009594,国泰中债1-3年国开行债券指数证券投资基金
009615,南方中债0-2年国开行债券指数证券投资基金
009616,南方中债0-2年国开行债券指数证券投资基金
009625,天弘中债3-5年政策性金融债指数发起式证券投资基金
009656,华安中债1-5年国开行债券交易型开放式指数证券投资基金联接基金
009657,华安中债1-5年国开行债券交易型开放式指数证券投资基金联接基金
009702,鹏华中债1-3年农发行债券指数证券投资基金
009703,鹏华中债1-3年农发行债券指数证券投资基金
009721,平安中债1-5年政策性金融债指数证券投资基金
009722,平安中债1-5年政策性金融债指数证券投资基金
009772,嘉实彭博国开行债券1-5年指数证券投资基金
009773,嘉实彭博国开行债券1-5年指数证券投资基金
