基金代码,基金全称
000667,工银瑞信绝对收益策略混合型发起式证券投资基金
000672,工银瑞信绝对收益策略混合型发起式证券投资基金
000679,招商丰利灵活配置混合型证券投资基金
000684,长盛养老健康产业灵活配置混合型证券投资基金
000689,前海开源新经济灵活配置混合型证券投资基金
000690,前海开源大海洋战略经济灵活配置混合型证券投资基金
000695,大成景益平稳收益混合型证券投资基金
000698,宝盈科技30灵活配置混合型证券投资基金
000706,中邮多策略灵活配置混合型证券投资基金
000708,华安安享灵活配置混合型证券投资基金
000714,诺安稳健回报灵活配置混合型证券投资基金
000717,融通转型三动力灵活配置混合型证券投资基金
000727,融通健康产业灵活配置混合型证券投资基金
000739,平安新鑫先锋混合型证券投资基金
000742,国泰新经济灵活配置混合型证券投资基金
000743,红塔红土盛世普益灵活配置混合型发起式证券投资基金
000747,广发逆向策略灵活配置混合型证券投资基金
000749,国金鑫安保本混合型证券投资基金
000753,华宝量化对冲策略混合型发起式证券投资基金
000754,华宝量化对冲策略混合型发起式证券投资基金
000755,富安达新兴成长灵活配置混合型证券投资基金
000757,华富智慧城市灵活配置混合型证券投资基金
000762,汇添富绝对收益策略定期开放混合型发起式证券投资基金
000763,工银瑞信新财富灵活配置混合型证券投资基金
000767,华富国泰民安灵活配置混合型证券投资基金
000772,景顺长城中国回报灵活配置混合型证券投资基金
000788,前海开源中国成长灵活配置混合型证券投资基金
000794,宝盈睿丰创新灵活配置混合型证券投资基金
000796,宝盈睿丰创新灵活配置混合型证券投资基金
000800,华商未来主题混合型证券投资基金
000804,中信建投稳利混合型证券投资基金
000805,中银新经济灵活配置混合型证券投资基金
000822,东海美丽中国灵活配置混合型证券投资基金
000823,银华高端制造业灵活配置混合型证券投资基金
000824,圆信永丰双红利灵活配置混合型证券投资基金
000825,圆信永丰双红利灵活配置混合型证券投资基金
000841,富国新回报灵活配置混合型证券投资基金
000843,富国新回报灵活配置混合型证券投资基金
000844,南方绝对收益策略定期开放混合型发起式证券投资基金
000845,国投瑞银信息消费灵活配置混合型证券投资基金
000849,汇丰晋信双核策略混合型证券投资基金
000850,汇丰晋信双核策略混合型证券投资基金
000865,大成景利混合型证券投资基金
000870,嘉实新收益灵活配置混合型证券投资基金
000877,华泰柏瑞量化优选灵活配置混合型证券投资基金
000878,中海医药健康产业精选灵活配置混合型证券投资基金
000879,中海医药健康产业精选灵活配置混合型证券投资基金
000880,富国研究精选灵活配置混合型证券投资基金
000887,上投摩根稳进回报混合型证券投资基金
000892,九泰天宝灵活配置混合型证券投资基金
000894,中欧睿达6个月持有期混合型证券投资基金
000904,银华回报灵活配置定期开放混合型发起式证券投资基金
000924,宝盈先进制造灵活配置混合型证券投资基金
000926,中信建投睿信灵活配置混合型证券投资基金
000928,国联国企改革灵活配置混合型证券投资基金
000932,前海开源睿远稳健增利混合型证券投资基金
000933,前海开源睿远稳健增利混合型证券投资基金
000934,富兰克林国海大中华精选混合型证券投资基金(QDII)
000935,浙商汇金转型成长混合型证券投资基金
000936,博时产业新动力灵活配置混合型发起式证券投资基金
000939,中银研究精选灵活配置混合型证券投资基金
000940,富国中小盘精选混合型证券投资基金
000945,华夏医疗健康混合型发起式证券投资基金
000946,华夏医疗健康混合型发起式证券投资基金
000953,国泰睿吉灵活配置混合型证券投资基金
000954,国泰睿吉灵活配置混合型证券投资基金
000963,兴业多策略灵活配置混合型发起式证券投资基金
000965,汇丰晋信新动力混合型证券投资基金
000966,中邮核心科技创新灵活配置混合型证券投资基金
000967,华泰柏瑞创新动力灵活配置混合型证券投资基金
000969,前海开源大安全核心精选灵活配置混合型证券投资基金
000970,东方红睿元三年定期开放灵活配置混合型发起式证券投资基金
000972,新华万银多元策略灵活配置混合型证券投资基金
000976,长城新兴产业灵活配置混合型证券投资基金
000977,长城环保主题灵活配置混合型证券投资基金
000986,太平灵活配置混合型发起式证券投资基金
000992,广发对冲套利定期开放混合型发起式证券投资基金
000993,华宝稳健回报灵活配置混合型证券投资基金
000994,建信睿盈灵活配置混合型证券投资基金
000995,建信睿盈灵活配置混合型证券投资基金
001000,中欧明睿新起点混合型证券投资基金
001004,新华稳健回报灵活配置混合型发起式证券投资基金
001005,中海合鑫灵活配置混合型证券投资基金
001007,国联安鑫安灵活配置混合型证券投资基金
001014,中融融安灵活配置混合型证券投资基金
001017,宏利改革动力量化策略灵活配置混合型证券投资基金
001018,易方达新经济灵活配置混合型证券投资基金
